,support,itemsets
438,0.0067890610059284755,['iphone']
424,0.0067890610059284755,"['performance', 'camera']"
372,0.0067890610059284755,['light']
128,0.0067890610059284755,['front']
189,0.006693440428380187,"['face', 'camera']"
74,0.006693440428380187,"['battery', 'con']"
307,0.006693440428380187,"['charge', 'performance']"
280,0.006693440428380187,"['phone', 'performance', 'quality']"
338,0.006693440428380187,['issue']
138,0.006693440428380187,"['battery', 'price', 'camera']"
33,0.006597819850831899,"['life', 'battery', 'performance']"
401,0.006597819850831899,['lot']
144,0.006597819850831899,"['battery', 'display', 'camera']"
108,0.006597819850831899,"['battery', 'everythe']"
469,0.006597819850831899,"['phone', 'iphone']"
485,0.006597819850831899,"['video', 'quality']"
286,0.006597819850831899,"['sound', 'charge']"
291,0.00650219927328361,"['phone', 'day']"
445,0.00650219927328361,"['battery', 'spee', 'phone']"
294,0.00650219927328361,"['display', 'quality']"
222,0.00650219927328361,['cover']
471,0.00650219927328361,['design']
412,0.00650219927328361,"['battery', 'mobile']"
473,0.00650219927328361,['bite']
366,0.006406578695735322,"['life', 'performance']"
396,0.006406578695735322,"['life', 'sound', 'phone']"
494,0.006406578695735322,"['front', 'camera']"
249,0.006406578695735322,"['life', 'day', 'camera']"
4,0.006406578695735322,"['battery', 'camera']"
12,0.006406578695735322,"['lot', 'phone']"
185,0.006406578695735322,"['life', 'phone']"
266,0.006406578695735322,"['battery', 'screen', 'camera']"
71,0.006406578695735322,"['life', 'phone', 'charge']"
24,0.006310958118187034,"['battery', 'game', 'camera']"
427,0.006310958118187034,"['life', 'battery', 'speaker']"
441,0.006310958118187034,"['phone', 'mode']"
437,0.006310958118187034,"['phone', 'usage']"
210,0.006215337540638745,"['usage', 'quality']"
351,0.006215337540638745,"['dash', 'phone', 'charge']"
281,0.006215337540638745,"['phone', 'quality']"
460,0.006215337540638745,"['phone', 'product']"
310,0.006215337540638745,"['battery', 'dash', 'camera']"
349,0.006215337540638745,"['phone', 'market']"
120,0.006119716963090457,['customer']
47,0.006119716963090457,"['phone', 'display']"
168,0.006119716963090457,"['battery', 'money']"
