,Review_text,Nouns
2059,The best mobile,mobile
5225,"OnePlus 6 (Mirror Black, 6GB RAM, 64GB Storage) nice","black,storage,mirror,ram"
1315,Picture quality is good.but battery performance and sound performance very very bad.and it's give speed process.,"spee,performance,sound,quality,battery,proce,picture"
3679,One plus 6 just awesome better than the iPhone I had,iphone
4613,superb,
2407,"It's a great phone , build quality is good I didn't expect white colour would be that good , surface finish is like white marble , looking at it at different angles gives a bluish tinge and same for the silver lines it gives a pinkish tinge , camera is superb , it can take photos (my version 8.1) as good as pixel xl 2 as I have already used one ,the best part is it's manual camera control which gives you control as similar to an professional camera. Battery last almost 1~ 1/2 - 2 days but totally depends on your usage if you can stay without additional features that are in 6t then you should get this provided if you are getting huge discount or price drop.","photo,angle,finish,colour,battery,price,day,line,pixel,quality,surface,usage,silver,drop,feature,part,marble,camera,phone,version,discount,tinge,control"
3701,The mobile is simply awesome.,mobile
3902,Good,
1550,Feels like i am holding a Rocket.So fast,
1917,Radiation levels are very  much higher after receiving calls head ache is starting please check radiation standards before buying,"radiation,head,call,level,ache,standard"
1264,Super,
456,Awesome phone,phone
369,"Best phone I have ever bought. Worth the price, best in class features. Superb camera, screen responsiveness, sound, design are great compared to any phone at this price range.","price,responsivene,phone,feature,sound,cla,design,camera,screen,range"
3434,Should buy one,
5029,"Lives up to it's name in all aspects, picture, sound, and battery. My second oneplus phone after 3t.","oneplu,aspect,phone,sound,battery,name,picture"
556,"One plus keep improving it's quality in each of it's new edition. You get the os updates to the latest. Sound, picture and battery life is very good. Charging speed is good. Only issue is you need to carry this charger everywhere as other android chargers will not fit in for this.","spee,life,issue,sound,quality,charger,battery,update,edition,picture"
8769,Nice phone,phone
4590,Amazing phone..... After using Five months..... This phone is beast.,"phone,beast,month"
5854,Picture quality is good,"quality,picture"
10176,"The overall quality is best in this price range. The looks are too good.
No issues for this phone and it supports 4k 60fps recording with optimization.
The high end ultra graphics games like pubg are running smooth without any lag. (Just make sure to use a better internet connection).","graphic,end,internet,price,pubg,look,phone,issue,quality,optimization,lag,connection,game,range"
5335,"I must say, go for it",
88,Love this❤️,
674,Nice,
2546,I LIKED MOST IS SPEED,spee
9779,"It is awesome phone, writing reveiw after 1 month use . Phone is having best specifications and I love with the quality and experience with the phone.","reveiw,month,phone,specification,use,experience,quality,write"
4791,It better than oppo vivo Nokia windows,"window,nokia,oppo"
1627,Lajawab,
7870,"Everything is great.
Only cons - no waterproof and not extraordinary camera.","waterproof,camera,con,everyth"
4184,No headline hence no review.,"headline,review"
2500,Picture quality is super,"quality,picture"
4544,"Superfast...super phone..only thing average is front camera..if you compare it with vivo v11, as it packed with 25 no camera..Rest..I'm loving it..!!","front,phone,vivo,rest,camera"
485,Its a beast,beast
2857,All function n features r good,function
9140,This phone is okay okay....speed is okay but sometimes it hangs and get heated too. Price is higher as you get same features in 15 k phone from similar brand,"spee,phone,brand,price,feature"
7513,"Picture quality superb.
Pubg player should go for this for sure.
Battery goes quickly down and charges also quickly up so the battery is okay not too good not too bad.
Else overall phone is just superb loved it .....never used such a beast before ....I am totally impressed with the speed quality of pictures and everything in it...I am in love with this phone.","pubg,player,spee,phone,love,superb,quality,battery,beast,picture,charge,everyth"
8736,"Use it and see for yourself, there is no other android available in the market that can claim better experience then this one","market,android,one,experience"
4485,Got this for a much better price during the sale and it is more than worth every penny spent,"penny,price,sale"
8287,Awesome quality,quality
7919,"Awesome Mobile, Best Android ever.","mobile,android"
2709,"If u want , should buy. Dont wait ....",want
10323,Excellent piece. I am very much satisfied battery is good stays the whole day 24hours.. fast charge and robust...picture quality is good,"day,piece,quality,battery,picture,charge"
3245,Best of all,
2793,"My fav mob, only trust this face value which is only gained its popularity by making best product in great price..
No other brand is able to achieve this milestone.","milestone,mob,value,price,face,brand,popularity,product"
8333,Best ever cellphone,cellphone
8348,amazing experience,experience
3107,"Purchased ""The"" red colour finally. It looks stylish and you know rest everything about one plus 6.","colour,everyth"
8458,Ok,
5418,Awesome phone,phone
2696,Awesome piece it is,piece
4728,best one,
6592,Good camera,camera
2346,Good phone,phone
10394,Good,
7544,Utterly disappointed because of drop in price of the product by 5000 - just after few days of my purchase.,"drop,day,price,product,purchase"
9913,5 star,star
10447,Nice product,product
2648,"Got it for 27k on Amazon Great Indian Sale, Best bang for buck, even better than pocof1 in terms of price/performance. Also best smartphone you can get at a reasonable price. The software is also superb , makes stock Android better. I bought a poco f1 before it, but the software experience was a deal breaker for me. The sound quality is OK, but not too good. REST IS BEST.","term,price,stock,sale,buck,amazon,performance,experience,bang,sound,quality,android,software,deal,breaker,smartphone,rest"
3494,High quality,quality
8273,Good,
5160,Battery backup needs to be improved,"battery,backup"
1414,Great,
9318,"Overall an awesome purchase, no lags, no issues, works like a breeze. Camera is the best in its class, worth every penny.
If you are looking for a reliable device with no compromise on any of the features like performance, camera, build, durability, then this is the phone to go with.","device,durability,phone,feature,issue,performance,purchase,cla,lag,camera,breeze,penny,build,compromise"
458,Amazing,
6865,Very nice mobile but face lock is not working in dark.. night vision is not working,"night,mobile,lock,face,vision"
9603,Batery back up is soo bad..even if with out mobile data the phone back up hour is max 5hour..please improve it.may be required more powerful batery with higher mah..,"hour,back,mobile,phone,max,batery,mah,soo,datum"
5401,If it's not a OnePlus it's not a OnePlus ;-),oneplu
9336,Good product... I love it,product
8204,Good,
7629,"I was waiting for OnePlus 6t about 1 month but I decided to purchase oneplus 6 over OnePlus 6t because there will be no major changes like waterdrop notch , indisplay fingerprint sensor, improved camera, improved battery but this will be no improvement because of increase in display .
I got it for 33000 + Amazon pay 1000+ free screen replacement for 1 year but I doesn't receive any msg yet.
OnePlus 6t may be more expensive by 1000-3000
and there will be no headphone jack.
Best tym to buy OnePlus 6.
5000 cash discount+ 2000sbi card discount+Amazon pay1000+one year screen replacement","headphone,card,change,month,waterdrop,fingerprint,oneplu,amazon,msg,cash,replacement,sensor,year,battery,jack,camera,increase,display,improvement,notch,screen"
8522,Good,
4042,Performance beast,"beast,performance"
7601,Normal app is crashing and battery life is not relevant.,"life,battery,app"
8751,Good,
3742,Good,
7021,Nice phone,phone
4016,picture quality is very good. sometime finger print sensor not recognizing. All other features are good.,"print,feature,finger,quality,sensor,picture"
6859,It's Chinese product but worth every penny.,"penny,product"
9354,The camera n processor are up to the mark,"mark,processor,camera"
8986,"DON'T WASTE YOUR MONEY ON THIS MOBILE. BETTER BUY NOKIA/MI MOBILE YOU WILL GET SAME FEATURE WITH 10-15K. CAMERA QUALITY IS WORST. AFTER UPGRADING TO OXYGEN OS 9.0 MY MOBILE IS GETTING HANG,(ONE MONTH OOLS MOBILE).","nokia,ool,month,mobile,feature,quality,money,camera,oxygen"
3890,This is the best phone at this price! Excellent service from the vendor.,"service,vendor,price,phone"
10074,One plus 6 is the best phone I purchased and it has value for money .the battery back up is good and camera is excellent except the night mode images.,"image,value,mode,back,phone,night,battery,money,camera"
9471,👌,
4345,Amazing,
830,"Camera excellent
Sound quality okayish
Battery life great
Performance awesome","life,performance,sound,quality,battery,camera"
1070,I don't like battery,battery
4085,Real value for  money even I rate this above I phone 6,"value,money"
5880,Best phone used till now,phone
1455,Nice products,product
6069,"Didn't expected this from Amazon, got a refurbished phone on the price of new phone, battery backup is like about 5-6 hours, picture quality is good but i am not happy with device, phone is getting heated up while normal usage, phone is hanging a lot, i am a big fan of oneplus from long time, using oneplus one from 2014, used oneplus 3t, oneplus 5t, and now oneplus 6, but really not happy with this one, sometimes there is network problem, some times wifi problem, sometimes flash doesn't work, really disappointed with amazon and oneplus. Didn't expected this.","device,lot,hour,price,oneplu,backup,amazon,phone,quality,battery,fan,problem,one,time,usage,network,picture"
3722,"Nice phone, fast delivery. Switched from Apple i phone 6s to One plus6.
Awesome experience and best price. Iphone overly priced.","delivery,price,phone,experience,iphone,apple"
6611,Very good product.,product
987,Awesome Awesome Awesome. Beautiful notch. The midnight black variant is amazing to touch with bare skin.,"skin,midnight,notch,variant"
6057,Superb everything,everyth
7125,Liked,
8532,"Purchased one and half month ago...5star for overall performance...no lag, buttery smooth...","half,performance,month,lag"
6460,This phone is a beast..,"phone,beast"
2508,"IT IS A GREAT PHONE AT THIS PRICE POINT, GREAT VALUE FOR MONEY.","price,phone,value,money,point"
3914,"Had been using one plus 6 since month awesome experience , picture quality is too good battery backup gives you for 6 hrs to 8hrs of continuous use I feel that sound earphones is good but on loudspeakers its bit noisy on when volume is too high over all I know the cost is high but when it compared to Samsung r iPhone it's worth. I Loved it #best flagship killer","loudspeaker,cost,volume,month,backup,earphone,use,experience,iphone,sound,quality,battery,flagship,killer,picture,bite"
5780,"Best Android phone you can get at this price ...
Go for it 👌👌👌👌","phone,price"
5241,Awesome,
4166,Battery doesnt charge so fast as expected.Picture quality is good but picture clicked using front camera seems to be like edited.during night time front camera is not so good as expected.,"night,front,quality,battery,camera,time,picture"
5919,"I'm loving it, best phone ever had.
Awesome feel. Fastest processor, even though company doesn't gives ip certification it has the ability to survive in water.
Go for it.","processor,phone,water,ability,company,certification"
844,It is worth every penny spent on it on and it's performance is excellent.,"penny,performance"
5396,Camera lovers must buy,"lover,camera"
4500,The product is not working well its speaker voice is not correct also its volumes key is not working during call,"volum,call,key,voice,speaker,product"
1877,Good phone but one plus switch doesn't work,"phone,switch"
7064,Good,
2287,Best purchase till date,"date,purchase"
9529,Awesome Handset I seen ever....It's Unbelievable.. Battery performance was also good as fast charging..But Increase More like 4000 mah,"performance,handset,battery,mah,charge"
10160,Supper,supper
3432,Set is fully new. Just the box of the mobile is seen used. Set find in very good condition. Satisfied to buy.,"mobile,condition,box"
3215,Superb !,
3449,Best phone I ever had ♥️,phone
1732,Exceptional product from One plus and offer from Amazon,"amazon,product,plu"
3226,never expexcted such crap from one plus my new phone is just completely off n not strting only it sucks atlst it proved chinese brand is chinese brand apple iphone takes money but never gives crap prdc like this,"phone,crap,iphone,apple,brand,money,prdc"
8837,"Mind blowing features to make life Easier. Battery charges too quickly, stays for almost whole day with continues use, picture quality is way better than any other handsets i have used.happy to have 1 plus 6","mind,day,life,handset,use,feature,quality,battery,picture,charge"
3000,Simply superb..  it gives a premium feel..  picture quality sound quality everything is premium.. only the delivery was big problem from amazon.. I rescheduled the  delivery for the next day due to some personal reasons but the delivery happened on the previous day itself.. also the rude behaviour of the delivery guy made it even worse..,"guy,delivery,day,premium,amazon,behaviour,sound,quality,problem,reason,picture,everyth"
7568,Always the best...,
6576,Good Mobile... Delivered on time with Amazon prime.,"mobile,amazon,time"
4748,Excellent upgrade from one plus 5. Bought it for my wife and she is very happy with it.,"upgrade,wife"
1048,Battery issue,"battery,issue"
4079,Good product,product
